family,model,trainable_parameters,training_time_seconds,inference_time_seconds_per_sample,parameter_mae,choi_fidelity,ptm_error,shot_robustness_256_mae
1q,QNN,79,0.05107835499984503,9.903343737960313e-06,0.037736812528084245,0.9898926221512431,0.10435782980361573,0.039396828042893836
1q,MLP,59,0.6242770280005061,5.226984370665377e-06,0.023087250659840446,0.9937073174274739,0.059896917345606544,0.050374316514987506
1q,Ridge,133,0.00016940199930104427,1.0803593681885104e-06,0.0012456715114500026,0.9998151180823605,0.004343488826952558,
2q,QNN,88,0.06199001499953738,1.2955520825623049e-05,0.044752707283742255,0.9859432256391788,0.13124580501018293,0.04658918325244186
2q,MLP,97,0.031123513999773422,7.688125000034537e-06,0.037242415422984586,0.9883912563443311,0.11092707042521986,0.07100892411451937
2q,Ridge,648,0.00027383800079405773,1.335520854202817e-06,0.0017043562376555094,0.9995831561180953,0.006053156972444578,
