method,tvd_to_ideal,p_correct_answer,distribution
ideal_simulation,0.0,1.0,"{""00"": 0.0, ""01"": 0.0, ""10"": 1.0, ""11"": 0.0}"
raw,0.15771484375,0.84228515625,"{""00"": 0.0693359375, ""01"": 0.0205078125, ""10"": 0.84228515625, ""11"": 0.06787109375}"
readout_only,0.1434936930081605,0.8565063069918395,"{""00"": 0.0685623881943981, ""01"": 0.01958690108059398, ""10"": 0.8565063069918395, ""11"": 0.05534440373316847}"
learned_readout_plus_generator,0.1372641543876797,0.8627358456123202,"{""00"": 0.06127501269777525, ""01"": 0.017353170832915706, ""10"": 0.8627358456123202, ""11"": 0.05863597085698871}"
