method,tvd_to_ideal,p_correct_answer,distribution
ideal_simulation,0.0,1.0,"{""00"": 0.0, ""01"": 0.0, ""10"": 1.0, ""11"": 0.0}"
raw,0.15771484375,0.84228515625,"{""00"": 0.072509765625, ""01"": 0.017333984375, ""10"": 0.84228515625, ""11"": 0.06787109375}"
readout_only,0.1434968945535689,0.8565031054464312,"{""00"": 0.07183438185040948, ""01"": 0.01631490741713433, ""10"": 0.8565031054464312, ""11"": 0.055347605286025114}"
learned_readout_plus_generator,0.13722796563575335,0.8627720343642467,"{""00"": 0.06448388504849353, ""01"": 0.01408786404791671, ""10"": 0.8627720343642467, ""11"": 0.05865621653934313}"
