method,tvd_to_ideal,p_correct_answer,distribution
ideal_simulation,0.0,1.0,"{""00"": 0.0, ""01"": 1.0, ""10"": 0.0, ""11"": 0.0}"
raw,0.09912109375,0.90087890625,"{""00"": 0.03857421875, ""01"": 0.90087890625, ""10"": 0.02001953125, ""11"": 0.04052734375}"
readout_only,0.08646972915134743,0.9135302708486526,"{""00"": 0.026723940082484715, ""01"": 0.9135302708486526, ""10"": 0.01979401484943688, ""11"": 0.03995177421942584}"
learned_readout_plus_generator,0.08144814778966293,0.9185518522103371,"{""00"": 0.023341075731518147, ""01"": 0.9185518522103371, ""10"": 0.015181590543614164, ""11"": 0.042925481514530635}"
