method,status,tvd_to_ideal,p_correct_joint,distribution
ideal,executed,0.0,1.0,"{""00010"": 0.125, ""00101"": 0.125, ""01001"": 0.125, ""01100"": 0.125, ""10011"": 0.125, ""10101"": 0.125, ""11011"": 0.125, ""11110"": 0.125}"
raw,executed,0.418701171875,0.581298828125,"{""00000"": 0.0235595703125, ""00001"": 0.0277099609375, ""00010"": 0.064208984375, ""00011"": 0.0152587890625, ""00100"": 0.030029296875, ""00101"": 0.0631103515625, ""00110"": 0.0157470703125, ""00111"": 0.0130615234375, ""01000"": 0.037353515625, ""01001"": 0.063232421875, ""01010"": 0.0106201171875, ""01011"": 0.010498046875, ""01100"": 0.085693359375, ""01101"": 0.0264892578125, ""01110"": 0.0125732421875, ""01111"": 0.005126953125, ""10000"": 0.015869140625, ""10001"": 0.0245361328125, ""10010"": 0.017333984375, ""10011"": 0.06640625, ""10100"": 0.0228271484375, ""10101"": 0.0811767578125, ""10110"": 0.0118408203125, ""10111"": 0.0167236328125, ""11000"": 0.01025390625, ""11001"": 0.015625, ""11010"": 0.0184326171875, ""11011"": 0.0745849609375, ""11100"": 0.01171875, ""11101"": 0.006591796875, ""11110"": 0.0828857421875, ""11111"": 0.0189208984375}"
readout_only,executed,0.41613384851781127,0.5838661514821888,"{""00000"": 0.023320531451726023, ""00001"": 0.027872877362795423, ""00010"": 0.06424775432151844, ""00011"": 0.015296141551460123, ""00100"": 0.02977311829055627, ""00101"": 0.0635401943775197, ""00110"": 0.015648281895645676, ""00111"": 0.01298664762377836, ""01000"": 0.03713034564972597, ""01001"": 0.0636701182960059, ""01010"": 0.010499695468108569, ""01011"": 0.010403942148659563, ""01100"": 0.08576701722316046, ""01101"": 0.02667065925318602, ""01110"": 0.012352210459884591, ""01111"": 0.005092925563768937, ""10000"": 0.01575138232034655, ""10001"": 0.02453690671221526, ""10010"": 0.01702795471142722, ""10011"": 0.06682926406851097, ""10100"": 0.022477704926936258, ""10101"": 0.08172985308785866, ""10110"": 0.011734052349240093, ""10111"": 0.016626749010964992, ""11000"": 0.010159767951492111, ""11001"": 0.015537894826119763, ""11010"": 0.018106382709832176, ""11011"": 0.07509243888755596, ""11100"": 0.011496049953731978, ""11101"": 0.0065890956581013205, ""11110"": 0.08298951122005865, ""11111"": 0.019042530668108043}"
learned,executed,0.41310098158501746,0.5868990184149825,"{""00000"": 0.023320531451726023, ""00001"": 0.027872877362795423, ""00010"": 0.06424775432151844, ""00011"": 0.015296141551460123, ""00100"": 0.02977311829055627, ""00101"": 0.0635401943775197, ""00110"": 0.015648281895645676, ""00111"": 0.01298664762377836, ""01000"": 0.03713034564972597, ""01001"": 0.0636701182960059, ""01010"": 0.010499695468108569, ""01011"": 0.010403942148659563, ""01100"": 0.08576701722316046, ""01101"": 0.02667065925318602, ""01110"": 0.012352210459884591, ""01111"": 0.005092925563768937, ""10000"": 0.015634009038917512, ""10001"": 0.025028704904339838, ""10010"": 0.015226200931025589, ""10011"": 0.06825659293821706, ""10100"": 0.022477704926936258, ""10101"": 0.08172985308785866, ""10110"": 0.011734052349240093, ""10111"": 0.016626749010964992, ""11000"": 0.010104741219241944, ""11001"": 0.01610649615827265, ""11010"": 0.015987270046841723, ""11011"": 0.07669797695064368, ""11100"": 0.011496049953731978, ""11101"": 0.0065890956581013205, ""11110"": 0.08298951122005865, ""11111"": 0.019042530668108043}"
haiqu_mitigation_only,executed_haiqu_cloud,0.07384509199768148,0.9547125719872928,"{""00000"": 0.0, ""00001"": 0.0, ""00010"": 0.09866167030300345, ""00011"": 0.0, ""00100"": 0.00854022658882687, ""00101"": 0.10554463858209645, ""00110"": 0.0, ""00111"": 0.0, ""01000"": 0.02268655997764526, ""01001"": 0.11423667994802773, ""01010"": 0.0, ""01011"": 0.0, ""01100"": 0.13208295875290416, ""01101"": 0.004752973051870065, ""01110"": 0.0, ""01111"": 0.0, ""10000"": 0.0, ""10001"": 0.0, ""10010"": 0.0, ""10011"": 0.11354738178467026, ""10100"": 0.009307668394364945, ""10101"": 0.12655503553580122, ""10110"": 0.0, ""10111"": 0.0, ""11000"": 0.0, ""11001"": 0.0, ""11010"": 0.0, ""11011"": 0.11916453738452058, ""11100"": 0.0, ""11101"": 0.0, ""11110"": 0.1449196696962689, ""11111"": 0.0}"
learned_plus_haiqu,executed_haiqu_cloud,0.07384509199768148,0.9547125719872928,"{""00000"": 0.0, ""00001"": 0.0, ""00010"": 0.09866167030300345, ""00011"": 0.0, ""00100"": 0.00854022658882687, ""00101"": 0.10554463858209645, ""00110"": 0.0, ""00111"": 0.0, ""01000"": 0.02268655997764526, ""01001"": 0.11423667994802773, ""01010"": 0.0, ""01011"": 0.0, ""01100"": 0.13208295875290416, ""01101"": 0.004752973051870065, ""01110"": 0.0, ""01111"": 0.0, ""10000"": 0.0, ""10001"": 0.0, ""10010"": 0.0, ""10011"": 0.11354738178467026, ""10100"": 0.009307668394364945, ""10101"": 0.12655503553580122, ""10110"": 0.0, ""10111"": 0.0, ""11000"": 0.0, ""11001"": 0.0, ""11010"": 0.0, ""11011"": 0.11916453738452058, ""11100"": 0.0, ""11101"": 0.0, ""11110"": 0.1449196696962689, ""11111"": 0.0}"
